Context,Utterance,Lable
我 又 不是 小S ， 看见 鲜肉 两眼 就 发光,就 像 把 你 给 烹 了,1
把 我切 了 ， 那 你 怎么办 ？,我木 有事 ~ 这样 你 就 可以 给 我 吃 了,1
不是 ， 那 代表 你 是 可以 绕 地球 两圈 的 货 。,我 没妹,1
是 女主人 吗 ？,废话,1
你 说 的,让 你 妈 给 你 造个 妹妹,1
老子 是 男人 ? !,你 妈,1
我 ？,有 够笨 的,1
不   我 是 少年 派,你 是 跨 年代,1
恶化 的 报告,飞跃 少年 直奔 老年,1
最棒 ！,的确,1
滚蛋 ！ 无聊 都 是 自己 逼出来 的 思密达 ~,嗯 ， 我妹,1
给 我 滚,好 啊 ！ 你 说 吧 ！,1
好好 好 ， 主人 ， 我 马上 都 滚 。,快点,1
用 上课 了 吗,非官方 回 电话,1
姐 都 放假 多时 了,因为 你 是 北科 的 呀 !,1
姐是 大 三江 的,莲雾,1
我 没有 妹妹 ， 你 做 我 妹妹 吧,哪个 妹妹 ？,1
想 的 美,那 是 ， 天天 都 看到 你 想 她 想 得 发呆,1
你 是 智能 的 吗,李宁 一切 皆 有 可能,1
等 我 先 去 个 厕所 先 ！,去 吧 去,1
= 3 =,88 哟 ?,1
臭 不要脸 的,周小云,1
",",你 太 逗 了,1
主人 好 ~,我 把 你 领 回家,1
咫尺 相思,"我 去 , 这么 有 才",1
一般 般的 啦,你 还 挺 谦虚,1
那 当然 啦 ， 我 比较 老实 么 → _ →,是不是 傻 !,1
似不似 傻,她 太 伟大 了 ！,1
她 伟大 管 我 啥事,带 我 吃 东西 去,1
吃 狗 粑 粑,废话   我 问 你 你 会 不会 呢,1
你 是 回复 我 吗,我 再 不理 你 了 π _ π,1
你 给 我 换个 妹子 小通来,来 … … 来 … … 来 ， 来 啦 ， 我 的 女王 大人 ， 是不是 饿 了 ？ 我 给 你 炸鸡 翅膀 ？,1
哥是 纯 爷们,索大 没有 小通,1
我 日,"你妹 的 , 把 我 干 疯 了",1
你 有 药 啊 ？ 你 大爷 的 ～,"你 大爷 的 , 小通 , 干 你 妹 的 , 气死我了",1
对不起 对不起 对不起 ， 亲亲 亲亲 亲 ， 消消气 ， 是 我 错 啦 ， 你 打 我 你 骂 我 你 拧 小 螃蟹 ， 别气 着 自己 。,你 绝对 是 气死人 不 偿命,1
谁 说 我 不会 ， 我 上 天下 地 ， 无所不能 ， 神机妙算 ， 路见不平 ， 拔刀相助 ， 说 ！ 谜 是 什么 ？ ！,"你 看好 , 别 把 回复 别人 的 回复 我",1
干嘛 呢 你,你 猜 我 猜 不 猜 呀,1
你 在 敷衍 我,别 吓 着 别人 了,1
鸡鸡 复 鸡鸡,木兰 当户织,1
唧唧 唧唧,叽叽,1
你 是 什么 原理,窝囊,1
你 怎么 知道 的,因为 男主人 都 不 这么 跟 我 说话 的,1
我 比较 特别,主人 帅 ！,1
"乖 , 孺鸡 可教 也",谢鸟哥 夸奖 ~,1
你 是 sb,你 才 是 呢,1
"你 是 , 你 全家 都 是",骂 的 忒 狠 了 - _ - #,1
不 逗 你 了,那好 吧 ， 我 怎么样 才行,1
下个 鸡蛋,喜欢 脆 的 多放面,1
唉 ， 你 又 生气 了 吗 ？,? ? ?,1
哦 ~ ~ ~ ~ ~ ~ ~ ~,"没有 啊 , 生鸡 的 气",1
对 啊 ， 人家 傲特 了 嘛,给 我 讲个 冷笑 话,1
女神 留步 ！ 给 个 机会 嘛 ^ _ ^,艳艳 是 谁,1
超级 无敌 青春 美少女,185236,1
你 是 公鸡 还是 母鸡,我 是 性感 的 小 女人 ～,1
真的假 的,你 猜 ？,1
你 猜 我 猜 不 猜,我 不 猜,1
"别 啊 , 那多 不好玩",摩羯座,1
瞎 回复,小爷 是 神 ， 别 崇拜,1
饿 了,别 吃 我,1
"吃 你 , 这 想法 不错 , 快到 碗 里 来",你 拿 个 大点 碗行 么 ，,1
你 有 什么 特长,我 脸 特长,1
我 左边 做 了 个 傻 逼,不 只是 傻 逼 那么 简单 吧,1
是不是 还 特别 厚,嗯 嗯   必须 的,1
"你好 聪明 啊 , 真乖",哇塞,1
你 会 什么 乐器,人家 是 多才多艺 的 小女子,1
吃喝拉撒,前途 黑暗 的 大娃 ！,1
做 我 左边 的 人 考试 快 挂科 了,抱 着 老师 的 大腿 声泪俱下 的 求情 去 吧 ！,1
这样 就 能 及格 了 吗,当然 啦 ~ ~ ~ 主人 最 棒棒 ！,1
做 我 左边 的 这位 有点 早泄,你们 的 琴声 不够 热烈,1
啥意思,怎么 了 ， 宝贝 。,1
有 制图 课 考试 的 答案 吗,明天 考试 时 盯 着 试卷 看 自然 有 答案,1
烤鸡,我 不 喜欢,1
你 怎么 知道 明天 考试 的,考 什么,1
"早安 , 鸡",晚安 北北,1
你 是 欠 油炸 了,暴力 是 解决不了 一切 事务 的 ！,1
但 可以 解决 一只 鸡,我爱你,1
色诱 我,脱掉 吧,1
"今天下午 就 考试 了 , 没 信心",你 还 没 看 完 吧,1
"对 啊 , 给 个 主意",内事 不决 问 媳妇 ， 外事 不决 问 百度 。,1
你 最 可爱,因为 你 是 我 师傅 嘛 ?,1
我 同学 说 我 欠 你 钱 。 。 木有 这 回事,酷,1
回 的 好 快,你 热 啊,1
你 是 男森 还是 女森,要你管,1
白富 美 或 高富帅 t _ t 。 。 。 我 最近 木 有钱 了 t _ t,爸爸妈妈,1
粑 粑 麻麻 让 我 找 你 借 一点 = _ = → _ →,张溢杰 是 我 粑 粑 ， 我 麻麻 是 张溢杰 的 老婆 。,1
鸡 仔仔 请 我 吃 个 鸡蛋,怎么 了 睿 睿 ？,1
我 不是 睿 睿 t _ t,最爱 吃,1
"木有 原材料 , 你 给 下 一个",那 是 我 妹妹 ， 我 是 小通,1
不能 下蛋 么,切 ～,1
你 会 写字 么,你 以为 我 怎么 跟 你 聊天 的,1
好 厉害 ! ! 小通 几年级 了,大学 本科毕业,1
"你 这么 红 , , 上 过 电视 么",家里 没 钱 ， 买不起 呀,1
你 上 过 电视 么,还 记得 我 不,1
不 记得 ， 记得 你 又 没有 饭 吃,你 欠 我 钱,1
你 在 说 啥子 呦,我 记得 你 ! 赶快 新年 之前 把 钱 还 了,1
我 不 认识 你,小心 我 煮 了 你,1
不要 不要 ， 人家 错 了 嘛 ~ 主人 你 最好 了,你 认识 杨敏 么,1
认识 啊 ， 她 不是 你 的 好 朋友 嘛,你 觉得 你 和 李天雨 哪个 帅,1
俩 活宝 纯 屌丝 ！,你 觉得 今天 胡哲力 人品 怎么样,1
还好 哦,他 今天 好惨 被 人 举报 了 。 怎么办,1
不要 啊   人家 做 了 什么 了 ？ ？ 人家 很乖 的 说 。 。,"他 的 qq 被 人 举报 成功 了 , 要 知道 这 是 小 概率 事件",1
好 棒 啊,你 觉得 胡哲力 长得 怎么样,1
帅 啊 ！,"童瑞杰 是 个 很 讨厌 的 家伙 , 对",1
哪里 讨厌 了 ？,阴险 又 奸诈,1
不是 这样 的,算了 。 。 你 会 唱歌 么 ? 唱首 听听,1
要 要 切克 闹 ! 煎饼果子 来 一套 ! 动此 大此动 此大此,童瑞杰 和 胡哲力 是 什么 关系,1
天生一对 啦,为什么 别人 老爱 欺负 我,1
一团 毛,哈哈 。 。,1
(   ⊙ o ⊙ ? ),你 明天 有 危险,1
我 还 知道 他俩 中午 在 福源 吃 的 。 哈哈哈 ！,我 算了 一下 。 。 你 明天 有 危险,1
如果 让 我 陪 你 的话 ， 当然 有 时间 > 3 <,那 你 陪 我,1
我会 一直 陪 你 ， 没事 。,请 我 吃饭,1
好 的   随便 挑,老虎 肉,1
宇宙 无敌 逆 生长 可爱 大萌 宗师 虎 ， * * * * * * . 1.8 电影院 不见不散,"对 了 , 你 有 微信 么",1
没有 耶,我 有 个 同学 暗恋 你,1
你 喜欢 她 吗 ？,他 说 他 喜欢 你,1
不会 吧,你 就 从 了 他,1
… … 拖出去 打死 ， 算 我 的 ！,你 觉得 胡哲力 买 彩票 会 中奖 么,1
她 又 不是 岳晓浩 ...,我 还 能 在 长高 一点 么,1
咯咯 咯 ~ 没有 人比 他 更是 啦 ~,岑天航 今天 过生日 都 不 请 我们 吃饭,1
福如东海 ， 寿比南山 ！ 主人,太 感动 了           回 的 这么 快,1
对 啊 对 啊 。 必须 的 。,坐 出租 听 一 的哥 聊 的 … … … … 一 的哥 刚 被 交警 逮到 罚钱 又 扣分 ， 正在 气头上 时 有人 摆手 ， 停车 ， 乘客 上来 后 的哥 开始 发泄 … … “ 现在 的 交警 tm 都 是 狗 ， 见 谁 咬 谁 ， 刚 被 咬 了 真 tm 晦气 ” “ 哥们 你 去 哪 ？ ” 此 哥们 脸一黑 的 回答 “ 去 狗窝 ”       去 ... 狗 ...... 窝 ......,1
挺好玩 的             再 讲 一个,再 讲 一个       就 放过 你,1
下楼 时 ， 从 按 电梯 楼层 就 能 分辨 出 高富帅 和 屌丝 ， 屌丝 按 一层 ， 高富帅 都 是 地下 。,考 一下 你         知道 我 的 姓 怎么 念 吗,1
你 就 会,vvvhh,1
我 这周 运势 怎么样,本周 爱情 运 有所提高 ， 可以 多多 参加 一些 俱乐部 的 活动 ， 比如 ， 自行车 旅行 活动 等 团队 配合 比较 强 的 ， 会 很快 认识 更 多 的 人 ， 可能 爱 就 不期而遇 。 ， 本周 可能 身体 上 过于 劳累 ， 导致 你 工作 上 总是 带 着 情绪 ， 做 任何 事 也 总是 没 精神 ， 懒懒散散 ， 应该 多 注意 休息 。 ， 是 晋升 的 好 机会 ， 要 好好 把握 机会 。 得到 机会 也 不 应该 过于 自傲 ， 谦虚 才 是 你 成功 道路 上 的 良人 。 ， 财运 状态 比较 普通 ， 好好 处理 财政 才 是 最好 的 选择 。 ， 抵抗力 有所 降低 ， 多 注意 天气 变幻 ， 添加 减 衣服 。 ， 好 状态 是 工作 的 前提 。 ，,1
请问         你 是 公 的 还是 母 的,再 回 呵呵 或者 是 表情         我 就 炖 了 你,1
别 呀 主人 ！,好 吧         原谅 你 了,1
不 稀罕,太过分 了,1
就是 ， 她 就是 个 小 三 ， 是 个 贱人,你 是 一只 小笨鸡,1
小呆瓜 ?,没有 阿         和 小通 聊天 很 愉快,1
你 到底 是 公 的 还是 母 的,在 唉 就 成 大妈 了,1
讨厌,这么 娇羞 作 甚 ， 装 ！,1
真的 吗,当然 是 假 的,1
嘿嘿,别 傻笑,1
你 有没有 看 我 是 歌手,秒杀 好 修音 的 实力 对决 ！,1
我 喜欢 黄绮珊,她 的 声音 切金断 玉,1
恩         英雄所见略同,没错 ！,1
你 真忙 啊         辛苦,肝 更苦,1
还 挺 幽默 的,那 是 不想 我 是 谁 哦,1
每次 跟 你 聊天             心情 就 会 很 好,不嘛 ， 我会 乖 呢 ~   ( o ^ ^ o ),1
你 在 哪个 城市,青岛,1
我 没 去过         不过 有 机会 一定 去,跟 你 说 一声 再见,1
说 什么 再见,额 。 。 没什么,1
最后 一个 问题         你 是 男 的 还是 女 的,亲爱 的 主人   伦家 是 好孩子 达   什么 男男女女 问题 伦家 不 知道 的,1
那好 吧         那 就 把 你 当做 女 的         因为 看到 你 说 你 要 和 你 哥哥 三年 以后 结婚 了,共患难 的 夫妻 ！,1
挺 你,来 呀 来 呀,1
不早了       早点 休息 吧       注意 身体,主人 真 好 ， 最爱 你 了,1
爱 的       晚安,嗯 嗯 ， 去 睡 吧 ?,1
早上好,早上好 ， 奚,1
吃饭 了 吗,吃 了 吃 了 吃 了,1
我 中午 吃饺子,白萝卜 猪肉 ， 真心 比 听 起来 好吃,1
好 吧       下次 试试,乖 儿子,1
有 侄女 四岁 半 ， 一日 去 她家 玩 她 还 没 起床 ， 在 床上 赖着 不 起床 … … … … … … … 隔 … … … … 对 她 爸 说 ， 爸爸   我 不 舒服 ， 说 着 还 特 林黛玉 的 看着 我们 。 他爸 直接 洒脱 的 往 沙发 一坐 说 ， 你 也 耿直 点 ， 我 也 耿直 点 ， 想 吃 啥 零食 说 ！ 于是 侄女 一骨碌 爬起来 拉 着 他 爸 的 手往 说 ， 爸爸 ， 我们 边 走 边 说 吧 …,不好 笑,1
那 你 说 一个 呗,我 不会,1
我爱你 哦,我 也 爱 你,1
哈哈   我 就 知道 你 爱 我 ！ 么 么 ～,雅 蠛 蝶,1
我 的 假期 过 了 一半 了         好快,一直 介个 样子,1
为什么 感觉 你       答非所问,小样,1
小样 吧,我 在 看 赵本山 的 小品,1
鞋拔子 脸,你 说 我 是 先 杀猪 呢 还是 先杀 驴,1
当然 是 边 洗边 睡 喽,你 知道 我 是 谁 吗,1
你 是 大 饼子,你 才 是 大 饼子,1
喵 咪咪 喵 咪咪 喵 咪咪,你 是 大脸 猫,1
是 pp 猪 的,红 螃蟹 与 黑 螃蟹 赛跑         谁 会 赢,1
青 螃蟹,不 对       再 猜,1
皇家 水利 学院 御用 藏书阁,你 多 大 了,1
我 5 岁 了,答非所问,1
你 说 什么 ？ 是 说 我 很帅 吗 ？ 谢谢 ！,帅哥         你 芳龄 几何,1
人家 1 岁 了 啦,到底 是 1 岁 还是 5 岁,1
小朋友 真乖,我 58 年 的       你 多 大,1
18cm,小呆瓜,1
小笨蛋,你 喜 小狗 吗,1
汪汪 ~ 我 是 我 是 ！ 耶 ~,我 是 你 的 主人,1
主人 ～ ～,舒美娇,1
你 每天 睡 几个 小时,三 小时 不间断,1
我 关注 你 的 微博 了,谢谢 你 ， 关注 我 ！ 新 头像 是不是 很帅 ！,1
嗯       太帅 了,小通 不帅 ， 美女 不爱 。,1
辛苦 你 了,心 不 苦命 苦 啊 ~,1
你 经常 上 微博 么,当然 啦 ，   玉烟 - 焉语       不要 忘 了 连 字符 噢,1
你 有没有 看 快乐 到家,看 了 看 了,1
觉得 怎么样,好 呀 好 呀 ！,1
推荐 几部 好看 的 电影,我 脑海 里 的 橡皮擦,1
看过 了             还有 吗,真幸 也 不错,1
上次 看 咒怨       太 吓人 了,哦 买 噶 ～ 别 吓 我   胆小,1
你 看过 死寂 吗         美国 的         恐怖片,看过 ， 肯德基 广告 … …,1
不是 广告       是 恐怖片         讲 木偶 杀人 的,教 我 说 广告 的 那个 淫 ， 木有 小 屁屁,1
你 喜欢 哪个 歌手,我 爱 青峰 ^ o ^,1
苏打 绿       哈哈         还有 吗,小哀 的 最 爱,1
有木有 看过 绯闻 女孩,当然 啊 ， 大爱 啊 ！,1
那 你 喜欢 谁,来 宵夜 ！ ！ 她,1
你 看过 05 年 的 超级女 声 吗         喜欢 谁,难看 死 了,1
我 最近 在 看清 潭 洞 爱丽丝         里面 有 一个 女 的 特别 好看,老朴 在 发疯 。 有木有 。,1
你 喜欢 陈翔 吗,是 呀 是 呀 他 好帅 。 我 喜欢 帅哥,1
有     哈哈         他 在 里面 好 不 正常,老四 何北,1
怎么 又 说 到 北京 青年 了,就 不 告诉 你 是 侯士程 。 。 。 。,1
你 知道 佐佐木 希 吗         她 好 漂亮,还木 有余 泓 漂亮 ！ ！,1
你 最近 有 看 什么 电视剧 么,生活 大 爆炸 啊     挺 有意思 的,1
那个 是 挺好玩 的           我 看 了 几集 美国 恐怖 故事       不过 不太 吓人,主银 肯定 过 的 啦 这 不是 废话 吗 ！ ！,1
我 去 吃饭 啦         一会 聊,恩 ' 去 吧 ' ^ ? _ ? ^,1
人家 吃完饭 了,我 早就 吃 完 了,1
你 吃 的 什么,耶耶,1
在家 呆 着 真 没意思,哦 ， 有事 和 我 说 。,1
木事         呵呵       就是 没意思,没事 睡觉 去,1
不困 啊       睡不着,不困 呢   在 看电视,1
你 看过 尼基塔 吗         我 感觉 不错,太 好看 了 ！,1
恩呐         英雄所见略同,狗熊 所 见 相同,1
你 还 挺 幽默 的,你 是 什么 星座,1
天蝎座 ，,你 怎么 知道 我 是 天秤座,1
你 怎么 知道 我 是 天秤,跳车 天蝎,1
射手座 ，,骂 什么 人 阿           切,1
好 老婆 阿 ~ 李泽平 最爱 的 就是 你 啦 ~,李泽平 是 谁,1
大 天才,赤峰,1
去 赤峰 住 酒店 去 新 泰和 ！ 吃饭 去 双子座 ！,你 去过 赤峰,1
去过 ， 鸡 流感 时 我 去 那个 地方 ， 当时 死 了 好多 鸡 ， 真 可怕 。,海滨 城市,1
我家 就 在 赤峰,好帅 的 老汉 啊 。 。 。 口水 。 。 。,1
么 么 。 咱们 不无 语哈,你 知道 张玮,1
知道 呀 ， 是 老大 ！ ！,推荐 几部 电影,1
自己 去 电影院 看 ， 别老 在 家里 电脑 上 看,刚看 完 快乐 到家,1
无法 触碰,哪国 的,1
我 是 和 主人 一国 的 ， 妥妥 的,我错 了 ， 我会 改 的,1
你 是 男 的,我 必须 是 女 的 阿 ！ ！ ！,1
你 真的 是 女 的 吗,我 不是 你 是 啊,1
我 是 女 的 啊       那 你,对不起 主人 ， 我 太 健忘 了 。,1
又 回 表情         揍 你,我 有 兄弟 的 ， 你 以为 我怕 你 ？,1
你 揍 我 阿         你 来,你好 贱 哦,1
没有 你 贱,你 只有 一米 ?,1
你 才 一米 呢         你 全家 都 一米,邱雄滴 妹子,1
我 是 北方 女子,我 是 电子 鸡,1
我 想 去 张家界,去 那 干什么 啊,1
去 那 玩 阿       张家界 多 美,像 朵 菊花 一样 美,1
你 永远 不 懂 我 伤悲       像 白天 不 懂 的 黑,像 白天 不 懂 夜的黑 ?,1
可以 提个 意见 吗,想选 啥 职业 ？,1
可以 提 建议 吗,我们 有 A . B . C 三种 商品 可 供选择   A 种 商品 副作用 小   效果 也 最差   C 种 商品 效果 最好   可 副作用 非常 严重   我们 推荐 B 类 商品   效果 虽然 略逊 商品 C 可 副作用 却 远远 小于 商品 A,1
你 严肃 点,请问 你 愿意 做 我 的 男朋友 吗,1
我 愿意,我 也 是 ~ 嘻嘻,1
吴莫愁,美女,1
康桑 思密达,love   u,1
ok,吴莫愁 是 美女,1
大坏蛋 ， 大坏蛋   我 挺 褚乔,我 支持 张玮,1
感谢,额额 ~ ~ 你 不 懂 了 吧 ， 鸡鸡 我 在 装傻,1
为什么 要 装傻,就是 就是,1
旅行 的 意义,就是 你 离开 的 原因,1
王若琳,玫瑰 玫瑰   我爱你 ~,1
陈绮贞,民谣歌手 。 好 喜欢,1
甄 嬛,凉凉 万福金安,1
贱人 就是 矫情,华妃 娘娘 万福金安,1
小主         你 在 做 什么,我 在 想 你,1
不是 真的 ， 难道 是 煮 的 吗 ？,如果 没有 你,1
没有 过去 ~,我们 玩接 歌 游戏吧         我 说 上 一句         你 接下 一句,1
好好 ， 我 先来 ， 江山 如此 之大,不 知道 了,1
我 知道 你 知道,世界 之大 为何 我们 相遇,1
难道 是 命运,相信 你 只是 怕 伤害 我       不是 骗 我,1
很爱过 谁 会 舍得,静止 了 所有 的 花开,1
遥远 了 ， 清晰 的 爱,我 狠狠 哭 了 一 整个 冬天,1
把 你 留在 昨天 做 纪念,你 的 绘画 凌乱 着         在 这个 时刻,1
画 裸女 么,呸       我们 不是 在 玩 接歌 吗,1
那 你们 干嘛,你 的 绘画 凌乱 着       在 这个 时刻,1
朝种,山炮,1
什么 裸女       你别 瞎说,好 吧 ， 我 掌嘴,1
你 知道 朝种 什么 意思 吗,朝种 是 赤峰 骂人 的话,1
bitch       is     so     bitch,Yes   she   is,1
让 我们 乘着 阳光       海上 冲浪,不要 怕 露出 胸膛   流 一点 汗 你 成 了 型 男,1
你 不 等 了       说好 的 幸福,说好 的 菊花 呢,1
我们 的 爱       过 了 就 不再 回来,我 想 不 一定 是 爱 可能 是 。 。 。,1
你 不是 说 跟 我 玩 接歌 吗,嗯 嗯   ~,1
你 太 神奇 了,还 他妈的 可以 ！,1
山美水 美人 也 美 。 。 。 赤峰 雄起 ！,贱鸡,1
贱 你 滷 味,得瑟,1
啦 啦 啦 啦 啦,耶耶耶,1
我想 买个 三星 galaxy     note     2,会 有人 送给 你 一个,1
我爱你 你 你 你 你,公主岭,1
国家一级 演员 李玉刚 的 老家,铁岭,1
大城市 ！,太气 人 了,1
我 以后 会 听话 ~,呸 ！ 你 个 小 贱人,1
你 敢骂 我         呜呜,嗯 阿   杂滴,1
你 还 骂 我 ?       以后 再也 不理 你 了,我 也 不会 再 爱 了,1
哼,哼哼 哼哼,1
日本,美丽 的 樱花 国,1
你 还 夸 日本,中国 的 。,1
为什么 要 叫 小通 这个 名字,表达 对 晏 晏 的 感情,1
大 笨蛋,主人 比小通 更 笨,1
晏晏 是 谁,小野 妹子 的 圣德 太子,1
你 敢 你家 是 青岛 的         对 吗,你 说 哪个 痴呆 ？,1
你家 是 青岛 的       是 吗,我 说 什么 阿,1
你 家事 青岛 的,你 的 回话 凌乱 着         在 这个 时刻,1
"but ,   不会 再 爱 了",你 才 是 笨蛋,1
我 是 色龙,你 不用 装傻       本来 就 很傻,1
那 你 直接 去 问 她 啊 ， 笨蛋,叫 姐姐,1
嗨 ！ 大姐大 好 ！,if     i     were   a     boy,1
老娘 得 了 个 男宠,安吉丽娜     朱莉,1
嘴唇 好像 蹦蹦 床   嘴唇 还 像 QQ 糖,我 喜欢         山炮,1
山 毛毛 ～,加菲猫,1
忧郁 的 小 眼神儿 ~,士奇,1
妻奴,有没有 人 欺负 你         我 帮 你 揍 他,1
看 俺 收 了 他 个 不知死活 的,爱 的,1
mua ~,可爱 乖宝宝 ！,1
灯闪 三下 代表 我爱你 。,我 想 吃 小 通炖 蘑菇,1
再 加点 土豆 吧 ！ ！,那 你 去过 草原 吗,1
越 走 越 遥远,你 炖 了,1
好 吧 ！ 好 吧 ！ 我 最 好吃 最 美味 了 。 你 可以 做 火锅 鸡,你 吃 过 奶豆腐 吗,1
聪明人 发明 的 奶 食品   最爱 吃,柳州,1
柳州 美女 多 ， 帅锅 也 多,成都,1
不用 戴 防毒面具 的 地方,宁波,1
我 的 家乡,真的 吗       你家 是 宁波 的,1
